Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
2rki_TT1_1_ligand	6op0_ligand	1	 0.611	 0.438	 0.173	 1.120	 0.698	 0.421	 0.767	 0.540	 0.227	 0.221	 0.659	-2.655	800.254
2vg5_NNC_1_ligand	6op0_ligand	1	 0.825	 0.596	 0.229	 1.351	 0.862	 0.488	 0.960	 0.659	 0.301	 0.295	 0.891	-3.540	976.749
2vg7_NNI_1_ligand	6op0_ligand	1	 0.804	 0.596	 0.208	 1.287	 0.866	 0.420	 0.949	 0.656	 0.292	 0.287	 0.883	-3.446	972.592
2won_ZZE_1_ligand	6op0_ligand	1	 0.558	 0.481	 0.078	 0.950	 0.793	 0.157	 0.683	 0.550	 0.133	 0.132	 0.613	-1.584	811.522
2ykm_YKN_1_ligand	6op0_ligand	1	 0.720	 0.514	 0.206	 1.350	 0.863	 0.487	 0.822	 0.560	 0.262	 0.256	 0.770	-3.069	824.843
2ynf_WHU_1_ligand	6op0_ligand	1	 0.574	 0.400	 0.174	 0.896	 0.609	 0.286	 0.845	 0.537	 0.308	 0.309	 0.709	-3.707	801.506
2ynh_EUR_1_ligand	6op0_ligand	1	 0.560	 0.395	 0.164	 0.877	 0.595	 0.282	 0.823	 0.541	 0.282	 0.282	 0.677	-3.383	808.153
2zd1_T27_1_ligand	6op0_ligand	1	 0.693	 0.518	 0.175	 1.087	 0.745	 0.342	 0.894	 0.629	 0.264	 0.261	 0.779	-3.130	937.008
2ze2_T27_1_ligand	6op0_ligand	1	 0.579	 0.437	 0.142	 0.953	 0.667	 0.286	 0.779	 0.559	 0.221	 0.218	 0.655	-2.615	831.247
3bgr_T27_1_ligand	6op0_ligand	1	 0.607	 0.414	 0.193	 1.010	 0.640	 0.371	 0.827	 0.541	 0.286	 0.283	 0.697	-3.393	804.753
3c6t_M14_1_ligand	6op0_ligand	1	 0.525	 0.386	 0.139	 0.819	 0.564	 0.255	 0.785	 0.549	 0.236	 0.235	 0.620	-2.815	823.811
3c6u_M22_1_ligand	6op0_ligand	1	 0.492	 0.383	 0.108	 0.821	 0.597	 0.224	 0.690	 0.517	 0.173	 0.171	 0.554	-2.052	770.985
3di6_PDZ_1_ligand	6op0_ligand	1	 0.608	 0.434	 0.175	 1.104	 0.714	 0.390	 0.765	 0.525	 0.240	 0.235	 0.669	-2.824	776.242
3dle_GFA_1_ligand	6op0_ligand	1	 0.491	 0.367	 0.124	 0.896	 0.606	 0.290	 0.661	 0.482	 0.179	 0.175	 0.542	-2.103	715.306
3dlg_GWE_1_ligand	6op0_ligand	1	 0.517	 0.431	 0.085	 0.760	 0.589	 0.171	 0.763	 0.618	 0.145	 0.144	 0.575	-1.727	929.739
3dmj_GWE_1_ligand	6op0_ligand	1	 0.462	 0.341	 0.121	 0.731	 0.496	 0.235	 0.721	 0.522	 0.199	 0.198	 0.539	-2.372	785.816
3dok_GWJ_1_ligand	6op0_ligand	1	 0.453	 0.343	 0.110	 0.720	 0.514	 0.206	 0.698	 0.508	 0.190	 0.190	 0.533	-2.276	761.830
3dol_GWI_1_ligand	6op0_ligand	1	 0.463	 0.358	 0.105	 0.691	 0.507	 0.184	 0.747	 0.549	 0.198	 0.199	 0.557	-2.383	828.490
3drp_R8E_1_ligand	6op0_ligand	1	 0.490	 0.394	 0.096	 0.769	 0.594	 0.175	 0.713	 0.538	 0.175	 0.175	 0.569	-2.102	804.083
3drr_R8E_1_ligand	6op0_ligand	1	 0.496	 0.401	 0.095	 0.776	 0.602	 0.174	 0.720	 0.546	 0.174	 0.174	 0.575	-2.089	815.061
3dya_PZL_1_ligand	6op0_ligand	1	 0.548	 0.400	 0.148	 0.878	 0.611	 0.268	 0.785	 0.537	 0.247	 0.246	 0.647	-2.957	801.146
3e01_PZ2_1_ligand	6op0_ligand	1	 0.668	 0.481	 0.187	 1.036	 0.707	 0.329	 0.904	 0.600	 0.304	 0.303	 0.783	-3.630	893.785
3hvt_NVP_1_ligand	6op0_ligand	1	 0.518	 0.404	 0.113	 0.990	 0.723	 0.267	 0.643	 0.479	 0.165	 0.161	 0.566	-1.935	705.272
3i0r_RT3_1_ligand	6op0_ligand	1	 0.528	 0.417	 0.111	 0.878	 0.634	 0.244	 0.718	 0.549	 0.170	 0.167	 0.584	-2.000	817.662
3i0s_RT7_1_ligand	6op0_ligand	1	 0.558	 0.436	 0.122	 0.915	 0.651	 0.265	 0.754	 0.570	 0.184	 0.181	 0.617	-2.169	849.654
3irx_UDR_1_ligand	6op0_ligand	1	 0.684	 0.521	 0.163	 0.963	 0.658	 0.305	 0.974	 0.715	 0.259	 0.257	 0.778	-3.083	1078.355
3is9_AC7_1_ligand	6op0_ligand	1	 0.568	 0.420	 0.148	 0.854	 0.574	 0.280	 0.848	 0.610	 0.238	 0.236	 0.656	-2.832	919.383
3lak_KR1_1_ligand	6op0_ligand	1	 0.499	 0.359	 0.140	 0.798	 0.552	 0.246	 0.752	 0.506	 0.246	 0.246	 0.605	-2.954	756.240
3lal_KRV_1_ligand	6op0_ligand	1	 0.648	 0.500	 0.148	 1.109	 0.794	 0.315	 0.793	 0.574	 0.219	 0.215	 0.715	-2.584	849.195
3lam_KRP_1_ligand	6op0_ligand	1	 0.698	 0.550	 0.148	 1.132	 0.836	 0.295	 0.845	 0.616	 0.228	 0.225	 0.775	-2.703	912.295
3lan_KBT_1_ligand	6op0_ligand	1	 0.714	 0.570	 0.144	 1.122	 0.832	 0.289	 0.867	 0.644	 0.223	 0.221	 0.790	-2.648	954.313
3lp0_NVP_2_ligand	6op0_ligand	1	 0.597	 0.475	 0.122	 1.095	 0.810	 0.285	 0.710	 0.534	 0.176	 0.172	 0.647	-2.069	787.430
3lp1_NVP_2_ligand	6op0_ligand	1	 0.612	 0.490	 0.122	 1.110	 0.826	 0.284	 0.722	 0.547	 0.175	 0.172	 0.662	-2.059	805.930
3lp2_LP9_1_ligand	6op0_ligand	1	 0.551	 0.427	 0.125	 0.844	 0.623	 0.221	 0.797	 0.575	 0.221	 0.221	 0.648	-2.658	859.719
3m8p_65B_1_ligand	6op0_ligand	1	 0.725	 0.559	 0.166	 1.055	 0.770	 0.285	 0.956	 0.671	 0.285	 0.285	 0.844	-3.420	1000.068
3m8q_DJZ_1_ligand	6op0_ligand	1	 0.547	 0.427	 0.120	 0.804	 0.598	 0.206	 0.822	 0.600	 0.222	 0.223	 0.650	-2.674	901.241
3mec_65B_1_ligand	6op0_ligand	1	 0.714	 0.567	 0.147	 1.051	 0.794	 0.257	 0.921	 0.664	 0.257	 0.257	 0.824	-3.083	988.291
3med_65B_1_ligand	6op0_ligand	1	 0.723	 0.573	 0.150	 1.060	 0.799	 0.261	 0.930	 0.670	 0.261	 0.261	 0.834	-3.127	996.242
3mee_T27_1_ligand	6op0_ligand	1	 0.701	 0.523	 0.178	 1.104	 0.757	 0.347	 0.897	 0.629	 0.268	 0.265	 0.788	-3.177	934.888
3meg_T27_1_ligand	6op0_ligand	1	 0.697	 0.521	 0.177	 1.099	 0.754	 0.345	 0.893	 0.627	 0.266	 0.263	 0.783	-3.153	932.561
3nbp_JGZ_1_ligand	6op0_ligand	1	 0.636	 0.487	 0.149	 0.909	 0.650	 0.259	 0.920	 0.661	 0.259	 0.259	 0.747	-3.114	993.105
3qip_NVP_1_ligand	6op0_ligand	1	 0.609	 0.485	 0.124	 1.111	 0.822	 0.289	 0.720	 0.542	 0.178	 0.175	 0.659	-2.095	798.028
3qlh_T27_2_ligand	6op0_ligand	1	 0.608	 0.418	 0.191	 1.012	 0.644	 0.367	 0.827	 0.543	 0.284	 0.280	 0.698	-3.361	808.567
3t19_5MA_1_ligand	6op0_ligand	1	 0.509	 0.405	 0.104	 0.772	 0.591	 0.181	 0.758	 0.563	 0.195	 0.195	 0.600	-2.346	843.078
3t1a_5MA_1_ligand	6op0_ligand	1	 0.571	 0.432	 0.139	 0.851	 0.616	 0.235	 0.845	 0.592	 0.253	 0.254	 0.686	-3.049	886.171
3tam_M06_1_ligand	6op0_ligand	1	 0.545	 0.392	 0.153	 0.895	 0.606	 0.289	 0.772	 0.527	 0.245	 0.243	 0.635	-2.916	785.612
4g1q_T27_1_ligand	6op0_ligand	1	 0.650	 0.444	 0.206	 1.055	 0.663	 0.391	 0.876	 0.574	 0.302	 0.298	 0.743	-3.580	854.964
4h4m_494_1_ligand	6op0_ligand	1	 0.644	 0.476	 0.168	 1.013	 0.682	 0.331	 0.866	 0.611	 0.255	 0.252	 0.728	-3.025	911.816
4h4o_506_1_ligand	6op0_ligand	1	 0.487	 0.365	 0.122	 0.813	 0.563	 0.250	 0.701	 0.508	 0.193	 0.191	 0.555	-2.288	759.141
4i2p_G73_1_ligand	6op0_ligand	1	 0.755	 0.535	 0.220	 1.061	 0.713	 0.348	 1.055	 0.682	 0.373	 0.375	 0.910	-4.500	1021.313
4i2q_1BT_1_ligand	6op0_ligand	1	 0.709	 0.549	 0.160	 0.972	 0.714	 0.258	 1.000	 0.704	 0.297	 0.299	 0.848	-3.589	1055.498
4i7f_NVE_1_ligand	6op0_ligand	1	 0.562	 0.375	 0.187	 0.894	 0.532	 0.362	 0.838	 0.559	 0.279	 0.276	 0.650	-3.309	841.689
4id5_T27_1_ligand	6op0_ligand	1	 0.706	 0.529	 0.177	 1.095	 0.750	 0.345	 0.909	 0.642	 0.267	 0.263	 0.792	-3.158	956.635
4ifv_T27_1_ligand	6op0_ligand	1	 0.696	 0.523	 0.173	 1.083	 0.744	 0.339	 0.899	 0.637	 0.262	 0.258	 0.781	-3.101	948.770
4ig3_T27_1_ligand	6op0_ligand	1	 0.711	 0.532	 0.179	 1.101	 0.752	 0.349	 0.914	 0.645	 0.269	 0.266	 0.798	-3.190	960.533
4kfb_T27_2_ligand	6op0_ligand	1	 0.713	 0.530	 0.183	 1.105	 0.750	 0.355	 0.918	 0.644	 0.274	 0.271	 0.800	-3.246	958.746
4kko_1RE_1_ligand	6op0_ligand	1	 0.466	 0.371	 0.096	 0.716	 0.557	 0.159	 0.720	 0.525	 0.194	 0.197	 0.567	-2.359	786.337
4ko0_JLJ_1_ligand	6op0_ligand	1	 0.709	 0.566	 0.144	 1.164	 0.876	 0.288	 0.837	 0.615	 0.223	 0.220	 0.785	-2.637	908.053
4lsl_1YQ_1_ligand	6op0_ligand	1	 0.594	 0.404	 0.190	 0.983	 0.617	 0.366	 0.821	 0.539	 0.283	 0.279	 0.683	-3.352	802.968
4mfb_29T_1_ligand	6op0_ligand	1	 0.490	 0.351	 0.139	 0.814	 0.548	 0.265	 0.719	 0.494	 0.225	 0.223	 0.575	-2.681	737.963
4rw4_494_1_ligand	6op0_ligand	1	 0.607	 0.429	 0.179	 0.983	 0.635	 0.348	 0.838	 0.569	 0.269	 0.265	 0.694	-3.183	849.337
4rw6_494_1_ligand	6op0_ligand	1	 0.611	 0.425	 0.186	 0.992	 0.631	 0.360	 0.844	 0.566	 0.278	 0.275	 0.700	-3.296	844.444
5cyq_T27_1_ligand	6op0_ligand	1	 0.709	 0.530	 0.178	 1.099	 0.752	 0.347	 0.911	 0.642	 0.268	 0.265	 0.795	-3.178	956.917
