Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
4id5_T27_1_ligand	6ooy_ligand	1	 0.734	 0.522	 0.212	 0.915	 0.601	 0.314	 1.193	 0.799	 0.394	 0.400	 0.922	-2.798	749.212
4ifv_T27_1_ligand	6ooy_ligand	1	 0.651	 0.476	 0.175	 0.833	 0.565	 0.267	 1.086	 0.751	 0.335	 0.340	 0.816	-2.379	704.482
4ig3_T27_1_ligand	6ooy_ligand	1	 0.734	 0.523	 0.211	 0.914	 0.602	 0.313	 1.192	 0.800	 0.392	 0.398	 0.921	-2.783	750.696
4kfb_T27_2_ligand	6ooy_ligand	1	 0.659	 0.480	 0.180	 0.842	 0.568	 0.274	 1.099	 0.756	 0.344	 0.348	 0.828	-2.439	709.007
4kko_1RE_1_ligand	6ooy_ligand	1	 0.495	 0.394	 0.101	 0.614	 0.476	 0.138	 0.968	 0.696	 0.272	 0.287	 0.681	-2.010	657.777
4ko0_JLJ_1_ligand	6ooy_ligand	1	 0.680	 0.537	 0.144	 0.896	 0.670	 0.226	 1.012	 0.729	 0.283	 0.287	 0.824	-2.010	675.058
4lsl_1YQ_1_ligand	6ooy_ligand	1	 0.647	 0.492	 0.155	 0.814	 0.573	 0.241	 1.078	 0.776	 0.302	 0.306	 0.798	-2.142	729.214
4mfb_29T_1_ligand	6ooy_ligand	1	 0.579	 0.448	 0.132	 0.731	 0.530	 0.201	 1.019	 0.742	 0.277	 0.283	 0.731	-1.980	698.392
4rw4_494_1_ligand	6ooy_ligand	1	 0.574	 0.431	 0.143	 0.743	 0.518	 0.226	 1.002	 0.720	 0.283	 0.287	 0.718	-2.008	677.318
4rw6_494_1_ligand	6ooy_ligand	1	 0.630	 0.536	 0.094	 0.754	 0.600	 0.154	 1.027	 0.834	 0.193	 0.196	 0.732	-1.370	785.355
5cyq_T27_1_ligand	6ooy_ligand	1	 0.735	 0.522	 0.212	 0.917	 0.602	 0.315	 1.193	 0.798	 0.395	 0.400	 0.923	-2.802	748.323
1c0t_BM1_1_ligand	6ooz_ligand	1	 0.866	 0.571	 0.295	 1.436	 0.822	 0.614	 1.015	 0.652	 0.363	 0.355	 0.926	-3.193	766.042
1c0u_BM5_1_ligand	6ooz_ligand	1	 0.822	 0.532	 0.289	 1.283	 0.736	 0.547	 1.039	 0.659	 0.380	 0.374	 0.906	-3.366	778.154
1c1b_GCA_1_ligand	6ooz_ligand	1	 0.722	 0.543	 0.179	 1.092	 0.749	 0.343	 0.937	 0.663	 0.273	 0.270	 0.813	-2.433	783.289
1c1c_612_1_ligand	6ooz_ligand	1	 0.694	 0.508	 0.185	 1.111	 0.759	 0.352	 0.887	 0.606	 0.281	 0.278	 0.786	-2.500	712.585
1ep4_S11_1_ligand	6ooz_ligand	1	 0.618	 0.335	 0.282	 0.930	 0.490	 0.441	 0.956	 0.516	 0.441	 0.441	 0.776	-3.965	614.964
1fk9_EFZ_1_ligand	6ooz_ligand	1	 0.714	 0.557	 0.157	 1.201	 0.786	 0.414	 0.858	 0.657	 0.201	 0.196	 0.753	-1.761	773.384
1fko_EFZ_1_ligand	6ooz_ligand	1	 0.651	 0.477	 0.174	 1.164	 0.711	 0.453	 0.812	 0.592	 0.220	 0.214	 0.691	-1.924	697.414
1fkp_NVP_1_ligand	6ooz_ligand	1	 0.756	 0.529	 0.227	 1.195	 0.778	 0.417	 0.956	 0.623	 0.332	 0.329	 0.858	-2.957	732.729
1jkh_EFZ_1_ligand	6ooz_ligand	1	 0.712	 0.554	 0.157	 1.201	 0.785	 0.416	 0.855	 0.653	 0.202	 0.196	 0.751	-1.767	769.010
1jla_TNK_1_ligand	6ooz_ligand	1	 0.601	 0.430	 0.171	 0.908	 0.600	 0.309	 0.880	 0.602	 0.277	 0.276	 0.705	-2.484	716.120
